,,,,,,
90259485.19,RAW MATERIALS/FULL GOODS,,,,,
87201646.79,RAW MATERIALS/FULL GOODS,,,,,
26265592.13,RAW MATERIALS/FULL GOODS,,,,,
20654406.89,RAW MATERIALS/FULL GOODS,,,,,
16709878.1,RAW MATERIALS/FULL GOODS,,,,,
13215278.94,RAW MATERIALS/FULL GOODS,,,,,
12196992.22,RAW MATERIALS/FULL GOODS,,,,,
5427104.62,RAW MATERIALS/FULL GOODS,,,,,
5186028.03,RAW MATERIALS/FULL GOODS,,,,,
3983652.22,RAW MATERIALS/FULL GOODS,,,,,
3478511.38,HUMAN RESOURCES,,,,,
2709774.25,HUMAN RESOURCES,,,,,
2653786.2,RAW MATERIALS/FULL GOODS,,,,,
2156585.02,RAW MATERIALS/FULL GOODS,,,,,
1902876,ACCOUNTING,,,,,
1864189.6,FLEET,,,,,
1689558.26,FLEET,,,,,
1681461.33,MIDDLESTREET GRAPHICS,,,,,
1679077.27,ACCOUNTING,,,,,
1468899.26,FLEET,,,,,
1386208.22,OPERATIONS/WAREHOUSE,,,,,
1325609.28,OPERATIONS/WAREHOUSE,,,,,
1243951.49,RAW MATERIALS/FULL GOODS,,,,,
1203186,ACCOUNTING,,,,,
1200180.35,HUMAN RESOURCES,,,,,
1174662.14,RAW MATERIALS/FULL GOODS,,,,,
1138693.62,DTBT,,,,,
1117318.07,RAW MATERIALS/FULL GOODS,,,,,
1109509.38,OPERATIONS/WAREHOUSE,,,,,
1082667.58,RAW MATERIALS/FULL GOODS,,,,,
1073212.09,FLEET,,,,,
1059249.37,HUMAN RESOURCES,,,,,
999716.86,MIDDLESTREET GRAPHICS,,,,,
977909.87,ADCO,,,,,
952089.15,RAW MATERIALS/FULL GOODS,,,,,
927054.06,OPERATIONS/WAREHOUSE,,,,,
879336.99,SALES-RETAIL/ON-PREMISE,,,,,
875259.29,MIDDLESTREET GRAPHICS,,,,,
846948.54,RAW MATERIALS/FULL GOODS,,,,,
819441.57,FLEET,,,,,
745391.6,OPERATIONS/WAREHOUSE,,,,,
730232,ACCOUNTING,,,,,
725521.04,FLEET,,,,,
715955.3,RAW MATERIALS/FULL GOODS,,,,,
709627.63,DTBT,,,,,
650237.68,FLEET,,,,,
645824.22,OPERATIONS/WAREHOUSE,,,,,
644740.6,OPERATIONS/WAREHOUSE,,,,,
640389.04,OPERATIONS/WAREHOUSE,,,,,
633041.52,ACCOUNTING,,,,,
631177.76,OPERATIONS/WAREHOUSE,,,,,
522797,RAW MATERIALS/FULL GOODS,,,,,
522612,ACCOUNTING,,,,,
516750,MIDDLESTREET GRAPHICS,,,,,
500218.5,HUMAN RESOURCES,,,,,
500019.42,OPERATIONS/WAREHOUSE,,,,,
497118.94,OPERATIONS/WAREHOUSE,,,,,
490495.43,OPERATIONS/WAREHOUSE,,,,,
486208.84,OPERATIONS/WAREHOUSE,,,,,
480296.71,OPERATIONS/WAREHOUSE,,,,,
475753.82,OPERATIONS/WAREHOUSE,,,,,
457044.07,ACCOUNTING,,,,,
443134.75,ADCO,,,,,
439197.48,RAW MATERIALS/FULL GOODS,,,,,
424900.57,OPERATIONS/WAREHOUSE,,,,,
410000,SALES-RETAIL/ON-PREMISE,,,,,
404786.08,MIDDLESTREET GRAPHICS,,,,,
372378,ACCOUNTING,,,,,
370229.08,RAW MATERIALS/FULL GOODS,,,,,
361953.96,SALES-RETAIL/ON-PREMISE,,,,,
357906,RAW MATERIALS/FULL GOODS,,,,,
352584.35,CMED,,,,,
351412.98,RAW MATERIALS/FULL GOODS,,,,,
341264.5,SALES-RETAIL/ON-PREMISE,,,,,
338026.23,HUMAN RESOURCES,,,,,
327939.01,RAW MATERIALS/FULL GOODS,,,,,
315458.82,FLEET,,,,,
312562.56,OPERATIONS/WAREHOUSE,,,,,
310093.97,OPERATIONS/WAREHOUSE,,,,,
302102.78,OPERATIONS/WAREHOUSE,,,,,
300977.54,OPERATIONS/WAREHOUSE,,,,,
297296.59,ACCOUNTING,,,,,
296635.23,OPERATIONS/WAREHOUSE,,,,,
294774.55,RAW MATERIALS/FULL GOODS,,,,,
292515.5,HUMAN RESOURCES,,,,,
290731.66,CMED,,,,,
290604.97,OPERATIONS/WAREHOUSE,,,,,
286153.15,OPERATIONS/WAREHOUSE,,,,,
285000,HUMAN RESOURCES,,,,,
279811.62,OPERATIONS/WAREHOUSE,,,,,
271309.97,MIDDLESTREET GRAPHICS,,,,,
265578.15,MIDDLESTREET GRAPHICS,,,,,
265300,SALES-RETAIL/ON-PREMISE,,,,,
264582.31,DTBT,,,,,
259196.06,OPERATIONS/WAREHOUSE,,,,,
254651.23,SALES-RETAIL/ON-PREMISE,,,,,
253066.63,OPERATIONS/WAREHOUSE,,,,,
249900,OPERATIONS/WAREHOUSE,,,,,
249362.19,OPERATIONS/WAREHOUSE,,,,,
247203.53,ADCO,,,,,
240144.57,ADCO,,,,,
236353.3,OPERATIONS/WAREHOUSE,,,,,
236298.4,SALES-RETAIL/ON-PREMISE,,,,,
231138.25,ACCOUNTING,,,,,
230796.22,SALES-RETAIL/ON-PREMISE,,,,,
229755.11,CMED,,,,,
228134.19,RAW MATERIALS/FULL GOODS,,,,,
227135.45,MIDDLESTREET GRAPHICS,,,,,
225976.78,DTBT,,,,,
221835.35,ACCOUNTING,,,,,
220591.83,MIDDLESTREET GRAPHICS,,,,,
220013.8,OPERATIONS/WAREHOUSE,,,,,
219632.99,OPERATIONS/WAREHOUSE,,,,,
217541.3,SALES-RETAIL/ON-PREMISE,,,,,
216000,ACCOUNTING,,,,,
215995.64,OPERATIONS/WAREHOUSE,,,,,
210645.44,ACCOUNTING,,,,,
210296.38,OPERATIONS/WAREHOUSE,,,,,
203309.09,RAW MATERIALS/FULL GOODS,,,,,
200147.63,OPERATIONS/WAREHOUSE,,,,,
199478.06,ADCO,,,,,
192364.55,OPERATIONS/WAREHOUSE,,,,,
192000,FLEET,,,,,
191678.7,OPERATIONS/WAREHOUSE,,,,,
189706.13,OPERATIONS/WAREHOUSE,,,,,
188119.82,DTBT,,,,,
188010.81,FLEET,,,,,
186002.53,SALES-RETAIL/ON-PREMISE,,,,,
183781,OPERATIONS/WAREHOUSE,,,,,
179457.46,OPERATIONS/WAREHOUSE,,,,,
178720.91,OPERATIONS/WAREHOUSE,,,,,
177910.82,CMED,,,,,
176566.28,CMED,,,,,
175782.12,OPERATIONS/WAREHOUSE,,,,,
173202.79,SALES-RETAIL/ON-PREMISE,,,,,
166383.56,RAW MATERIALS/FULL GOODS,,,,,
166170.12,HUMAN RESOURCES,,,,,
165996,SALES-RETAIL/ON-PREMISE,,,,,
164915.22,HUMAN RESOURCES,,,,,
163945.83,ACCOUNTING,,,,,
163380,HUMAN RESOURCES,,,,,
158022.5,RAW MATERIALS/FULL GOODS,,,,,
157577.25,ACCOUNTING,,,,,
157468.25,ACCOUNTING,,,,,
157074.79,DTBT,,,,,
154903.98,ACCOUNTING,,,,,
154293.69,SALES-RETAIL/ON-PREMISE,,,,,
152553.1,FLEET,,,,,
149524.64,SALES-RETAIL/ON-PREMISE,,,,,
149367.95,OPERATIONS/WAREHOUSE,,,,,
146168.49,OPERATIONS/WAREHOUSE,,,,,
144767.03,FLEET,,,,,
144614.16,FLEET,,,,,
141803,ACCOUNTING,,,,,
138977.12,HUMAN RESOURCES,,,,,
138587.15,FLEET,,,,,
137438.95,DTBT,,,,,
135548.12,FLEET,,,,,
133807.26,HUMAN RESOURCES,,,,,
131750.85,OPERATIONS/WAREHOUSE,,,,,
126938.93,SALES-RETAIL/ON-PREMISE,,,,,
125827.6,RAW MATERIALS/FULL GOODS,,,,,
125740.76,HUMAN RESOURCES,,,,,
123744.9,OPERATIONS/WAREHOUSE,,,,,
122096.58,CMED,,,,,
120879.24,SALES-RETAIL/ON-PREMISE,,,,,
117613.93,OPERATIONS/WAREHOUSE,,,,,
117353.8,DTBT,,,,,
117139.35,ADCO,,,,,
115961.94,OPERATIONS/WAREHOUSE,,,,,
115884.08,OPERATIONS/WAREHOUSE,,,,,
115261.72,DTBT,,,,,
115215,SALES-RETAIL/ON-PREMISE,,,,,
115059,OPERATIONS/WAREHOUSE,,,,,
114295.45,OPERATIONS/WAREHOUSE,,,,,
113975.38,OPERATIONS/WAREHOUSE,,,,,
113894.01,HUMAN RESOURCES,,,,,
113320.49,ACCOUNTING,,,,,
112199.34,MIDDLESTREET GRAPHICS,,,,,
107326,OPERATIONS/WAREHOUSE,,,,,
107189.95,OPERATIONS/WAREHOUSE,,,,,
107185.86,SALES-RETAIL/ON-PREMISE,,,,,
107133.23,SALES-RETAIL/ON-PREMISE,,,,,
106501.95,OPERATIONS/WAREHOUSE,,,,,
106000,SALES-RETAIL/ON-PREMISE,,,,,
105622.64,SALES-RETAIL/ON-PREMISE,,,,,
105545.91,HUMAN RESOURCES,,,,,
105000,SALES-RETAIL/ON-PREMISE,,,,,
104834.14,OPERATIONS/WAREHOUSE,,,,,
104397.08,OPERATIONS/WAREHOUSE,,,,,
104103.96,CMED,,,,,
102785.42,ACCOUNTING,,,,,
102504.57,HUMAN RESOURCES,,,,,
102215.59,OPERATIONS/WAREHOUSE,,,,,
100000,SALES-RETAIL/ON-PREMISE,,,,,
99995.81,FLEET,,,,,
99620,ACCOUNTING,,,,,
98791.21,OPERATIONS/WAREHOUSE,,,,,
97765.79,MIDDLESTREET GRAPHICS,,,,,
95676.64,OPERATIONS/WAREHOUSE,,,,,
95624,HUMAN RESOURCES,,,,,
94698.5,ADCO,,,,,
93767.75,ADCO,,,,,
93154.2,MIDDLESTREET GRAPHICS,,,,,
92609.71,SALES-RETAIL/ON-PREMISE,,,,,
92107.27,RAW MATERIALS/FULL GOODS,,,,,
92033.23,OPERATIONS/WAREHOUSE,,,,,
91950.05,OPERATIONS/WAREHOUSE,,,,,
91947.68,RAW MATERIALS/FULL GOODS,,,,,
91935.24,OPERATIONS/WAREHOUSE,,,,,
90080.75,RAW MATERIALS/FULL GOODS,,,,,
89811.31,OPERATIONS/WAREHOUSE,,,,,
89678.26,ADCO,,,,,
89400,OPERATIONS/WAREHOUSE,,,,,
88530.18,RAW MATERIALS/FULL GOODS,,,,,
87442.75,SALES-RETAIL/ON-PREMISE,,,,,
85650,FLEET,,,,,
85438.82,SALES-RETAIL/ON-PREMISE,,,,,
85415.5,SALES-RETAIL/ON-PREMISE,,,,,
85134.41,OPERATIONS/WAREHOUSE,,,,,
83014.55,SALES-RETAIL/ON-PREMISE,,,,,
81557.85,OPERATIONS/WAREHOUSE,,,,,
81473.82,OPERATIONS/WAREHOUSE,,,,,
79870.24,OPERATIONS/WAREHOUSE,,,,,
79231.4,OPERATIONS/WAREHOUSE,,,,,
79166.15,FLEET,,,,,
77323.34,HUMAN RESOURCES,,,,,
76494.53,CMED,,,,,
76136.17,OPERATIONS/WAREHOUSE,,,,,
76032.5,ADCO,,,,,
75981.15,OPERATIONS/WAREHOUSE,,,,,
75739.65,SALES-RETAIL/ON-PREMISE,,,,,
75555,SALES-RETAIL/ON-PREMISE,,,,,
75196.91,ACCOUNTING,,,,,
74876,FLEET,,,,,
73407,MIDDLESTREET GRAPHICS,,,,,
70383.25,HUMAN RESOURCES,,,,,
70160.61,OPERATIONS/WAREHOUSE,,,,,
68478.08,FLEET,,,,,
66921.74,OPERATIONS/WAREHOUSE,,,,,
66687.72,RAW MATERIALS/FULL GOODS,,,,,
66028.26,SALES-RETAIL/ON-PREMISE,,,,,
64596.54,ACCOUNTING,,,,,
64567.4,OPERATIONS/WAREHOUSE,,,,,
64415.3,OPERATIONS/WAREHOUSE,,,,,
64102.04,CMED,,,,,
63499.65,OPERATIONS/WAREHOUSE,,,,,
63406.77,HUMAN RESOURCES,,,,,
63170,SALES-RETAIL/ON-PREMISE,,,,,
62967.8,SALES-RETAIL/ON-PREMISE,,,,,
62800.66,OPERATIONS/WAREHOUSE,,,,,
62118.88,ACCOUNTING,,,,,
61200,ACCOUNTING,,,,,
60598.23,OPERATIONS/WAREHOUSE,,,,,
60153.46,OPERATIONS/WAREHOUSE,,,,,
59795.34,SALES-RETAIL/ON-PREMISE,,,,,
59618.09,CMED,,,,,
59313.82,SALES-RETAIL/ON-PREMISE,,,,,
58480,OPERATIONS/WAREHOUSE,,,,,
58388.62,HUMAN RESOURCES,,,,,
58222,ACCOUNTING,,,,,
58212.89,OPERATIONS/WAREHOUSE,,,,,
58187.28,ACCOUNTING,,,,,
58000,ADCO,,,,,
57656.7,OPERATIONS/WAREHOUSE,,,,,
56997.53,OPERATIONS/WAREHOUSE,,,,,
56787.84,OPERATIONS/WAREHOUSE,,,,,
56419.67,SALES-RETAIL/ON-PREMISE,,,,,
56149.94,OPERATIONS/WAREHOUSE,,,,,
55236.89,OPERATIONS/WAREHOUSE,,,,,
55189.88,MIDDLESTREET GRAPHICS,,,,,
55148,ADCO,,,,,
55051.06,SALES-RETAIL/ON-PREMISE,,,,,
54876.92,OPERATIONS/WAREHOUSE,,,,,
54862.96,CMED,,,,,
54824.75,FLEET,,,,,
54478.05,HUMAN RESOURCES,,,,,
53780,MIDDLESTREET GRAPHICS,,,,,
53594.79,OPERATIONS/WAREHOUSE,,,,,
53173.4,OPERATIONS/WAREHOUSE,,,,,
53075.43,FLEET,,,,,
52638.11,ACCOUNTING,,,,,
52373.89,OPERATIONS/WAREHOUSE,,,,,
52299.34,OPERATIONS/WAREHOUSE,,,,,
51750.62,SALES-RETAIL/ON-PREMISE,,,,,
51460.78,SALES-RETAIL/ON-PREMISE,,,,,
51418.17,FLEET,,,,,
50375,FLEET,,,,,
50000,SALES-RETAIL/ON-PREMISE,,,,,
50000,SALES-RETAIL/ON-PREMISE,,,,,
